name,time,blockused,fileset
quota,1554650813000000000,12034831616,backups
quota,1554650813000000000,9437184,ces
quota,1554694012000000000,12034831616,backups
quota,1554694012000000000,27720320,sui
quota,1554694012000000000,14907199488,backups_lsst-db
quota,1554694012000000000,77940404096,backups_system
quota,1554694012000000000,57190080896,dr
quota,1554694012000000000,0,qserv
quota,1554694012000000000,171125632,root
quota,1554694012000000000,24709987328,home
quota,1554694012000000000,175096997504,scratch
quota,1554694012000000000,1915668480,software
quota,1554694012000000000,9437184,ces
quota,1554694012000000000,424175872,jhome
quota,1554694012000000000,26784128,kubernetes
quota,1554694012000000000,3749353088,backups_lsst-dev-db
quota,1554694012000000000,1271109698816,datasets
quota,1554694012000000000,0,lsp
quota,1554694012000000000,1792,nfsroot
quota,1554694012000000000,0,dedicated
quota,1554694012000000000,167640747648,objects
quota,1554694012000000000,301068815360,project
quota,1554737213000000000,167640747648,objects
quota,1554737213000000000,301178456448,project
quota,1554737213000000000,9437184,ces
quota,1554737213000000000,171134976,root
quota,1554737213000000000,14908112256,backups_lsst-db
quota,1554737213000000000,12034831616,backups
quota,1554737213000000000,27720320,sui
quota,1554737213000000000,0,qserv
quota,1554737213000000000,77940404096,backups_system
quota,1554737213000000000,57190032896,dr
quota,1554737213000000000,1915608960,software
quota,1554737213000000000,24709972352,home
quota,1554737213000000000,175096997504,scratch
quota,1554737213000000000,0,dedicated
quota,1554737213000000000,3749353088,backups_lsst-dev-db
quota,1554737213000000000,423748608,jhome
quota,1554737213000000000,26784384,kubernetes
quota,1554737213000000000,1792,nfsroot
quota,1554737213000000000,1271122217856,datasets
quota,1554737213000000000,0,lsp
quota,1554780412000000000,1271122217856,datasets
quota,1554780412000000000,0,lsp
quota,1554780412000000000,1915608960,software
quota,1554780412000000000,27720320,sui
quota,1554780412000000000,9437184,ces
quota,1554780412000000000,167640747648,objects
quota,1554780412000000000,301178456448,project
quota,1554780412000000000,12034831616,backups
quota,1554780412000000000,171134976,root
quota,1554780412000000000,14908112256,backups_lsst-db
quota,1554780412000000000,57190032896,dr
quota,1554780412000000000,0,qserv
quota,1554780412000000000,77940404096,backups_system
quota,1554780412000000000,1792,nfsroot
quota,1554780412000000000,0,dedicated
quota,1554780412000000000,24709972352,home
quota,1554780412000000000,175096997504,scratch
quota,1554780412000000000,26784384,kubernetes
quota,1554780412000000000,3749353088,backups_lsst-dev-db
quota,1554780412000000000,423748608,jhome
quota,1554823613000000000,3749353088,backups_lsst-dev-db
quota,1554823613000000000,423922432,jhome
quota,1554823613000000000,57197100288,dr
quota,1554823613000000000,302078096896,project
quota,1554823613000000000,1915608960,software
quota,1554823613000000000,1274853737600,datasets
quota,1554823613000000000,0,lsp
quota,1554823613000000000,167640747648,objects
quota,1554823613000000000,27720576,sui
quota,1554823613000000000,9437184,ces
quota,1554823613000000000,14907444224,backups_lsst-db
quota,1554823613000000000,12034831616,backups
quota,1554823613000000000,171143808,root
quota,1554823613000000000,26785024,kubernetes
quota,1554823613000000000,1792,nfsroot
quota,1554823613000000000,0,qserv
quota,1554823613000000000,78471195264,backups_system
quota,1554823613000000000,175144661376,scratch
quota,1554823613000000000,0,dedicated
quota,1554823613000000000,24739927168,home
quota,1554866812000000000,0,dedicated
quota,1554866812000000000,24739927168,home
quota,1554866812000000000,14907444224,backups_lsst-db
quota,1554866812000000000,0,lsp
quota,1554866812000000000,57197100288,dr
quota,1554866812000000000,3749353088,backups_lsst-dev-db
quota,1554866812000000000,423922432,jhome
quota,1554866812000000000,1274853737600,datasets
quota,1554866812000000000,302078096896,project
quota,1554866812000000000,1915608960,software
quota,1554866812000000000,9437184,ces
quota,1554866812000000000,167640747648,objects
quota,1554866812000000000,27720576,sui
quota,1554866812000000000,175144661376,scratch
quota,1554866812000000000,26785024,kubernetes
quota,1554866812000000000,12034831616,backups
quota,1554866812000000000,171143808,root
quota,1554866812000000000,78471195264,backups_system
quota,1554866812000000000,1792,nfsroot
quota,1554866812000000000,0,qserv
quota,1554910013000000000,1792,nfsroot
quota,1554910013000000000,0,qserv
quota,1554910013000000000,9437184,ces
quota,1554910013000000000,424316416,jhome
quota,1554910013000000000,14908377728,backups_lsst-db
quota,1554910013000000000,0,dedicated
quota,1554910013000000000,24612186368,home
quota,1554910013000000000,3749353088,backups_lsst-dev-db
quota,1554910013000000000,0,lsp
quota,1554910013000000000,57204294784,dr
quota,1554910013000000000,1915608960,software
quota,1554910013000000000,1275250226688,datasets
quota,1554910013000000000,303573904384,project
quota,1554910013000000000,78807444352,backups_system
quota,1554910013000000000,175182942720,scratch
quota,1554910013000000000,167640747648,objects
quota,1554910013000000000,27720576,sui
quota,1554910013000000000,174096256,root
quota,1554910013000000000,26785024,kubernetes
quota,1554910013000000000,12034831616,backups
quota,1554953216000000000,26785024,kubernetes
quota,1554953216000000000,12034831616,backups
quota,1554953216000000000,1915608960,software
quota,1554953216000000000,24612186368,home
quota,1554953216000000000,9437184,ces
quota,1554953216000000000,1792,nfsroot
quota,1554953216000000000,0,qserv
quota,1554953216000000000,0,dedicated
quota,1554953216000000000,424316416,jhome
quota,1554953216000000000,14908377728,backups_lsst-db
quota,1554953216000000000,57204294784,dr
quota,1554953216000000000,3749353088,backups_lsst-dev-db
quota,1554953216000000000,0,lsp
quota,1554953216000000000,174096256,root
quota,1554953216000000000,78807444352,backups_system
quota,1554953216000000000,1275250226688,datasets
quota,1554953216000000000,303573904384,project
quota,1554953216000000000,27720576,sui
quota,1554953216000000000,175182942720,scratch
quota,1554953216000000000,167640747648,objects
quota,1554996413000000000,175182178560,scratch
quota,1554996413000000000,167640747648,objects
quota,1554996413000000000,57210808448,dr
quota,1554996413000000000,0,qserv
quota,1554996413000000000,1915608960,software
quota,1554996413000000000,26785024,kubernetes
quota,1554996413000000000,12034831616,backups
quota,1554996413000000000,1792,nfsroot
quota,1554996413000000000,24546497536,home
quota,1554996413000000000,9437184,ces
quota,1554996413000000000,14908742272,backups_lsst-db
quota,1554996413000000000,0,dedicated
quota,1554996413000000000,424661120,jhome
quota,1554996413000000000,27721984,sui
quota,1554996413000000000,174096640,root
quota,1554996413000000000,3749353088,backups_lsst-dev-db
quota,1554996413000000000,0,lsp
quota,1554996413000000000,306184869760,project
quota,1554996413000000000,78807444352,backups_system
quota,1554996413000000000,1275251124608,datasets
quota,1555039612000000000,78807444352,backups_system
quota,1555039612000000000,1275251124608,datasets
quota,1555039612000000000,14908742272,backups_lsst-db
quota,1555039612000000000,12034831616,backups
quota,1555039612000000000,57210808448,dr
quota,1555039612000000000,175182178560,scratch
quota,1555039612000000000,167640747648,objects
quota,1555039612000000000,26785024,kubernetes
quota,1555039612000000000,0,qserv
quota,1555039612000000000,1915608960,software
